epsilon,delta,batch_size,max_grad_norm,cifar_label,victim_accuracy,attack_accuracy
10,1e-05,32,100,4,15.74,50.07518797
10,1e-05,32,100,5,15.74,50.53003534
10,1e-05,32,100,6,15.74,49.28536225
10,1e-05,32,100,7,15.74,49.35707221
10,1e-05,32,100,8,15.74,50.50505051
10,1e-05,32,100,9,15.74,50
10,1e-05,128,0.1,0,48.34,50.39525692
10,1e-05,128,0.1,1,48.34,53.10621242
10,1e-05,128,0.1,2,48.34,51.53807363
10,1e-05,128,0.1,3,48.34,51.30653266
10,1e-05,128,0.1,4,48.34,52.48120301
10,1e-05,128,0.1,5,48.34,52.09490156
10,1e-05,128,0.1,6,48.34,50.5174963
10,1e-05,128,0.1,7,48.34,51.82987141
10,1e-05,128,0.1,8,48.34,52.42424242
10,1e-05,128,0.1,9,48.34,51.5
10,1e-05,128,10,0,37.48,50.14822134
10,1e-05,128,10,1,37.48,50.4008016
10,1e-05,128,10,2,37.48,50.63035804
10,1e-05,128,10,3,37.48,50.30150754
10,1e-05,128,10,4,37.48,50.1754386
10,1e-05,128,10,5,37.48,50.47955578
10,1e-05,128,10,6,37.48,49.28536225
10,1e-05,128,10,7,37.48,48.96142433
10,1e-05,128,10,8,37.48,50.75757576
10,1e-05,128,10,9,37.48,50.15
10,1e-05,128,100,0,19.05,49.40711462
10,1e-05,128,100,1,19.05,50.1002004
10,1e-05,128,100,2,19.05,50.42864347
10,1e-05,128,100,3,19.05,50.25125628
10,1e-05,128,100,4,19.05,50.12531328
10,1e-05,128,100,5,19.05,50.47955578
10,1e-05,128,100,6,19.05,49.28536225
10,1e-05,128,100,7,19.05,49.45598417
10,1e-05,128,100,8,19.05,50.50505051
10,1e-05,128,100,9,19.05,50
10,1e-05,512,0.1,0,47.4,50.44466403
10,1e-05,512,0.1,1,47.4,52.25450902
10,1e-05,512,0.1,2,47.4,50.88250126
10,1e-05,512,0.1,3,47.4,50.20100503
10,1e-05,512,0.1,4,47.4,51.27819549
10,1e-05,512,0.1,5,47.4,50.37859667
10,1e-05,512,0.1,6,47.4,51.10892065
10,1e-05,512,0.1,7,47.4,51.63204748
10,1e-05,512,0.1,8,47.4,51.46464646
10,1e-05,512,0.1,9,47.4,50.7
10,1e-05,512,10,0,36.69,49.45652174
10,1e-05,512,10,1,36.69,50.0501002
10,1e-05,512,10,2,36.69,50.37821483
10,1e-05,512,10,3,36.69,50.20100503
10,1e-05,512,10,4,36.69,50.12531328
10,1e-05,512,10,5,36.69,50.681474
10,1e-05,512,10,6,36.69,49.28536225
10,1e-05,512,10,7,36.69,49.30761622
10,1e-05,512,10,8,36.69,50.50505051
10,1e-05,512,10,9,36.69,50.15
10,1e-05,512,100,0,20.47,49.40711462
